power,thrust,pwm_val
0.13120878623879884,-36.476430976430976,1326
0.13073220582546852,-36.70673400673401,1326
0.28368957699368036,-116.45824915824915,1444
0.17484626670459658,-56.78249158249158,1360
0.17515604071199153,-57.26885521885522,1360
0.8393881074993703,-334.7779461279461,1875
0.7474440981904013,-351.55824915824917,1804
0.8466246721101013,-340.8188552188552,1881
0.6149442453957749,-321.21430976430975,1701
0.17330217468472697,-49.00673400673401,1359
0.32384600908796546,-138.72946127946128,1475
0.47807335053457556,-216.65824915824913,1595
0.9407315758145133,-339.8461279461279,1954
0.41541764685982174,-179.83249158249157,1546
0.120889967471556,-26.571885521885523,1318
0.5249254260926097,-238.52643097643096,1631
0.18820696006276638,-61.00218855218856,1370
0.5537995400647121,-263.75218855218856,1654
0.30459069202076794,-123.89006734006733,1461
0.5473579370901307,-253.49309764309763,1649
0.27335608211948204,-106.47340067340066,1436
0.8188185744079272,-337.77037037037036,1859
0.3658588328747877,-156.04309764309764,1508
0.06051944070829318,4.075084175084174,1271
0.9522779130898857,-341.12491582491583,1963
0.5305742160220464,-244.87794612794613,1636
0.49810654826154377,-220.18703703703702,1611
0.2176621454146731,-69.97340067340068,1393
0.5886737461038944,-290.3006734006734,1681
0.914661555585283,-344.5840067340067,1933
0.1001991212557416,-17.124915824915828,1302
0.1263143970349716,-27.50824915824916,1322
0.3499635987119777,-151.04915824915824,1496
0.32308954027656045,-132.17340067340066,1475
0.4416488683564772,-200.7597643097643,1567
0.40923060854823323,-176.85218855218855,1542
0.6426904341812083,-337.38400673400673,1723
0.6029232355278669,-299.1294612794613,1692
0.3336536156443902,-135.45521885521885,1483
0.8271047231674936,-340.07037037037037,1866
0.4023253457232183,-175.6097643097643,1536
0.6074767361838588,-298.25521885521886,1695
0.8474979140836486,-338.7037037037037,1881
0.19581970580282837,-60.655218855218855,1376
0.7808088113151307,-346.9627946127946,1830
0.3095836877815642,-122.29309764309764,1464
0.3192982982269108,-131.42946127946126,1472
0.21512837942914942,-71.08097643097643,1391
0.8031986727537904,-343.0506734006734,1847
0.86449523026404,-344.06127946127947,1894
